lyrics,mood,embedding
welcome world involve within dream experience life must like mind thought take look time past present world rule inferior dethroned eternity boil serpent unkind buried beneath find deep hall damned spirit black til end spirit damned rot midst brimstone fire wall eye dead watching living hall,0,"[ 0.01308795 -0.02500572 -0.01746918 ...  0.00126509 -0.00195727
 -0.00967492]"
remember said free shall go suburb stay take easy back came suddenly aged keeper case slave wage would say would got education good enough could say chorus trouble,2,"[ 0.00166504 -0.02797056 -0.00348738 ... -0.02982954  0.00877297
  0.0051837 ]"
like fresh manifestation old phenomenon breeze whip tree rustling leaf branch bend together cured sway forever force word choreography must second combination sight sound around,1,"[-0.02357129 -0.00379357 -0.01367533 ...  0.002799   -0.00990307
 -0.03964068]"
fiend ragged generation pacifier fool round greed nation enslaved corporate tool rise race legacy lie realize accession towards day revolt noah seed cast away take hold war born rejoice age fall begun dance palace burn,0,"[-0.02426616 -0.0254878  -0.0107865  ... -0.01136956  0.00423408
 -0.01172356]"
well take week friend want another speech hoping better day hear got say personality crisis got hot frustration headache got talk personality trying got want someone cow row thinking time took every ounce sure got shame start scream shout got contradict time butterfly,0,"[-0.02894278  0.01710382  0.03833038 ... -0.00112818 -0.00754908
 -0.02916563]"
much must curse name put belief shame prove end life life say fucking prayer know answered god god fucking god even though believe,0,"[-0.00635937 -0.00213583 -0.00790607 ... -0.01761772  0.02068455
 -0.0206049 ]"
time want leave keep home time want leave medo go met u go remember used take,3,"[ 0.00341912  0.00568824  0.03084078 ... -0.0083693  -0.00458286
 -0.02177804]"
man hath issue flesh issue unclean bed whereof unclean everything whereof sitteth unclean whosoever touch bed shall unclean sitteth whereof sat shall unclean touch flesh unclean becomes unclean spat unclean becomes unclean whosoever touch anything shall unclean earth thing shall unclean saddle ride upon unclean vessel earth touch unclean man seed population go unclean garment every skin whereof seed unclean woman man shall lie unclean whoever touch unclean law plague,0,"[ 0.01319423  0.00036945  0.01714846 ...  0.00985196  0.00435773
 -0.02582356]"
please open eye cry realize found today going wrong going wrong,3,"[-0.00194005 -0.00680562 -0.00708031 ...  0.00440545  0.01763554
 -0.01443532]"
place dream sun never go sky deep blue take oh begin would skin let sun shine edge ocean start ha ah ah ah ah ah ah ha ah ah ha ah ah ha ah ah ah ah ah ah ha ah ah ha ah ah world always known somewhere far away home close eye see,2,"[ 0.0242482   0.00249741  0.00936651 ... -0.01910424  0.00948583
 -0.02389024]"
wright woooohhhh pretty face dirty look knew right away would get hook yeah yeah yeah running low memory want make fuss boy got disease thus say yeah yeah need baby lie need lover alive want fall love sweet money baby baby hard beat flesh touch alone smell air feeling alone thus,0,"[-0.01333046  0.00836568  0.02342391 ... -0.01372655  0.00568525
 -0.02233125]"
tried hard remember forgot believe tried tried tried cried kissed goodby something know boy blow mind know going feel know know want,2,"[-0.0112979   0.00731002  0.01800808 ... -0.00612354  0.01304466
  0.00206974]"
everything make long overrun thought love could safe know wrong tried tried tried co honey long day sun baby,3,"[ 0.00151369 -0.00260681  0.00670518 ... -0.00269706  0.0045632
 -0.01190519]"
ready austin look one two one two three four thinking word say would like think fate reference song love spell confusion k like star without string hanging two wing smile eye time could stop could make poetic nothing pathetic said bring show light sorry hide afraid look inside carry truth make smile,3,"[-0.00645723  0.01097763  0.00527438 ... -0.01950656 -0.00972561
 -0.05652753]"
wonderful place bird singing dream sent everyone waving noise smell skin,1,"[-0.00931546  0.00361898  0.01093352 ... -0.00532027 -0.01205883
 -0.01708612]"
workshop eaves making toy good gentile girl good gentile boy bos dusted nearly scared half death rifle hand cheap whiskey breath beard boot covered also like big fat drunk disgruntled yuletide lumbo smiled said twinkle eye merry christmas going die night santa went crazy night faint sick went insane realized would getting raw deal something finally must snapped brain well workshop gone decided bomb everywhere find piece rapid comet tied helper held eaves hostage ground poor rudolph render sausage,1,"[-0.03324519 -0.00567892 -0.01178604 ...  0.0140534   0.01874254
 -0.01128062]"
still married still kind getting shot,3,"[-0.03340145 -0.00544679 -0.01022833 ... -0.00701292  0.0016822
 -0.00367277]"
oh soundtrack popping baby know go name dupe disco representing first fifteen yea one right dedicate one right home grinding know saying legally illegally ahahah know talking check first got six know trick matter fact first time got slipped handed hip bust lip week talk lisp like end story right short quit something air tea said something appealing could fight feeling something knew could doubt would understand grand first kickflip land oh labelled visit bandit kakunk kakunk kakunk neighbor could stand banished park,2,"[-0.00429043 -0.00945362  0.01381038 ... -0.00870654 -0.00381566
 -0.02655949]"
expect really nice want cause fuss feel alive thank much really nice know enjoyed show want know go o thrill feel like drill must let go let go imagine,1,"[-0.02600372 -0.00302541  0.01135945 ... -0.00258388  0.01473361
 -0.03477241]"
counting backwards count remember remember time rope try turn back built tower bone,0,"[-0.01281613 -0.01735948 -0.0050604  ...  0.00023809  0.00405299
 -0.0219095 ]"
even stroke pulse flashing hate right synthesis soul massproduced hammered shape sign time dream turn system new way new breed implanted mind hand sterile hate new control wake sleep new intelligence arise emptied body urged flesh tested eternal spastic known code mother machine genocide scorn dying race,0,"[-0.02991187 -0.00454272 -0.02063523 ... -0.00663882  0.00644762
 -0.01368128]"
side til die word know stay high love yeah yeah love hey let u go count hundred table table twenty floor floor fresh gutta work way love yeah love love got gangsta crowd bad birch show show marked outside sitting fo love yeah love love back motherfuckin booth booth night still lying motherfuckin truth yeah believe need fucking proof want four door copper motherfuckin couple hata trying trying g g ewything come light see night dark baby shine shine heart home rhyme yeah check watch night time mind made grind yeah right pay attention yeah time case time wait man ah done man yeah moe part program hut maybe night listening,0,"[ 0.01843517 -0.01572847 -0.01137217 ... -0.0193778   0.01290731
 -0.02263661]"
tell win way slow tell going take come watch watch burn let show always hiding way watch burn let show always ilyin way watch burn,0,"[-0.00976274 -0.02127099  0.00376843 ... -0.00951241  0.0087276
 -0.03206886]"
black strong chuck alley trapper still front u always knew ha ha yeah boy pas low go death row brother know back incredible rhyme animal incredible public enemy number one giveo said breeze got numb tell really never gun wax terminator x spun got cell record sell brother like said well farrakhans prophet think ought listen say ought follow power people say take miracle pump lyrical black back going win check yeah cmon go turn bring noise turn bring noise key chuck saying black man understand saying little know get smack man,0,"[-0.00851949 -0.02184379 -0.01753891 ... -0.01885814  0.00751965
 -0.02320468]"
monday morning came soon entering forgotten room disguised morning sun run waiting come rescue awful blue look like another day another way another place many lonely day sure must go door said need anymore anymore monday morning,2,"[ 0.0002336  -0.01365368 -0.00136272 ... -0.00614548  0.01876058
 -0.02008361]"
verse one god damn brand new aback straight ganglion mack straight ganglion black many motherfucker got pay went shelf dusted cap got get healed nigga love hate still pop suck new back swing nut wit nigger bail platino bitch sell luck ice tube people say luck amerikkka still wit triple k know nine go buck bust head like watermelon dropped story let u see drop sunk motherfucker trying ban hiphop luck rb running man one stand gun hand take sure buck wit duck quick sunk wrong night fuck wit let know one thing man,0,"[-0.00640283 -0.01344695  0.01201585 ... -0.03232129 -0.00826934
 -0.00685511]"
loneliness shadow quicker darkness brawl surface skin visibly surrounded black feel feel free surrounded empty soul artificial courage used mine walk made alone black feel feel free,3,"[ 0.00646736 -0.01368336  0.01009962 ... -0.01997743  0.00482453
 -0.026424  ]"
bandy 自小乾坤曾游 xiao qian kun ceng dang strong youth made tour around whole wide world 玉帝加封卷帘将 jia feng juan lian jiang,2,"[-0.02097723 -0.01473264  0.01960542 ... -0.00097706 -0.00767355
 -0.0251641 ]"
ghostbusters something strange neighborhood going call ghostbusters something weird look good going call ghostbusters afraid ghost afraid ghost seen thing running head call ghostbusters invisible man sleeping bed oh going call ghostbusters,1,"[ 0.00388062 -0.01944813 -0.01359181 ... -0.00209154 -0.00624245
 -0.02207382]"
born ash often hatred raised demon abode dead reaper scythe fall upon light path wrecked mangled wound life become become resurrection evil one yknow fucking care live die need bishop preaching fire get away sin despise everything see got respect humanity never lived wanted immortality reaper shadow fall upon obscure path day battered bleed motherfuckas leave could never give cure pain feel inside,0,"[ 0.00945555 -0.01352641  0.00895861 ... -0.00834594 -0.00340373
 -0.01850265]"
know teeth white snow gas see talk every day shady place lip said said key paul hey paul hey paul met u ball key paul hey paul hey paul met u ball key paul hey paul hey paul met u ball gigantic gigantic gigantic big big love gigantic gigantic gigantic big big love,1,"[ 0.0009276   0.005617    0.02035914 ... -0.01920524 -0.00653217
 -0.03281337]"
grey park look day pale never thought would rain way knowing used met u stay something going happen today smile delayed never never thought would laugh knowing used,3,"[ 0.00291211 -0.00855496  0.02076459 ... -0.01799963  0.00601927
 -0.00660443]"
reminded time blinded sun welcome change sight hanging like willow arm yet another visionary profitous last sunk stand chance could stand looked okay others looked great could gathered say hello goodby stand test time tried separate ocean tear cried whoooo,2,"[-0.00837538 -0.02496574  0.00896117 ... -0.00767104 -0.004899
  0.00872406]"
affair keep longing someone someone new good wrong thing good untrue bad share lazy lover took chance found cure,2,"[-0.00180796  0.00877651  0.03502179 ... -0.00126733  0.02130235
 -0.01967343]"
never sun turning sky moon u moonlight night star heaven although burn bright even deepest ocean light may always shine go barefoot stone might long together might walk alone,2,"[ 0.01527572 -0.01807472  0.00849605 ... -0.01683366  0.01770504
 -0.01309064]"
basically fuck came bring pain hardware brain met u go inside astray plane mind mental based instrumental record hey write monument method king night deaf stick cream check deep shit get deep abyss brother mad fish accept cross colour clothes crossed got totally crossed oris crossed bos nigga get tossed side dark side force course method usang plan hectic coming head piece protect luck two tear bucket nigga want mucous austin brush bust type get buckwild method shit pulling night file sick insane crazy driving miss daisy fucking mind got mine wayne,0,"[-0.0134885  -0.00892435  0.002806   ... -0.0122367  -0.0306902
 -0.01725796]"
say always going thing u day filled dream scorpion crawl across screen take home beneath skin underneath dress stick tongue site flesh bone fucking alone since three day want three day need three day love forever three day built nest inside soul rest head leaf gold managed crawl inside brain found hole came sleep like baby breathing,3,"[ 0.00105985  0.00874615  0.02569011 ... -0.00610037  0.00856108
 -0.0291447 ]"
responsibility anchor around neck dependability made nervous wreck accountability live check check volatility neglect respect wheel motion got path beat hit road know look tough shit street oneway ticket nowhere window train see headed going soto psycho going nowhere everybody soto psycho love lose baby soto psycho going nowhere mile hour soto psycho soto psycho soto psycho,0,"[-0.00891077 -0.00415743  0.00797535 ...  0.00051751 -0.00293446
 -0.01741965]"
take rock star gone far way back alone go go calling radio anyone listening go go calling radio anyone listening take driver speed armour way back alone go go,2,"[ 0.0033537  -0.01410132 -0.0140464  ... -0.02007413 -0.00049044
  0.01144445]"
laura give time got give one chance man know man know tell cincinnati going need love give love give love give love give love give love give,1,"[-0.00935486 -0.0059344   0.00049032 ... -0.00104299 -0.00026454
 -0.00314581]"
clever thing say got stuck somewhere stuck oh nervous know right cigarette smoke oh hell oh another guy oh okay kind sex really special mind take home take home mind take clothes take like much better naked like much better naked like much better naked,1,"[-0.02235876  0.01052862  0.01356322 ...  0.00063406  0.00195399
 -0.03288052]"
love song kill kill ohahah ahahah ahahah ohahah ahahah ahahah curtain closed way home near life run dry painted word made hurt knife eating mind bite begging please word place mess one gone love song kill,3,"[-0.00547728 -0.00807352  0.00945774 ... -0.01301433  0.01718024
 -0.03655934]"
really see good want say everythings fine time made stay see clear today wish could turn back time turn back time choice would leave behind choice would make leave mind leave mind,2,"[-0.00287771 -0.00282502  0.01324462 ... -0.01949978  0.00912437
 -0.03402262]"
sit around wishing forever day made halfway wishing child game play never thought whatever happened star eye way lit soul return star back sky world need bet never thought could bad nothing else could bring back,2,"[-0.00434143 -0.00436915 -0.00891847 ... -0.00554026  0.00488541
 -0.03559071]"
go stranger something waiting angel doll honey temple harpoon want main line jesus want diamond want pull trigger kill autumn home walk believer walk straight sun talk believer walk,1,"[-0.01038963 -0.0018681   0.00131716 ... -0.01148624  0.0018101
 -0.01353886]"
looking devil grinning gun finger start shaking begin run bullet start chain begin stop begin wrestle top want thank letting thank letting stiff collar fluffy face hit chat chatter trying stop place thank party,1,"[-0.03469015 -0.00406568 -0.0128992  ... -0.0238255   0.00995355
 -0.02364739]"
since find nothing emptiness killed impermanence guided tour deepest fear designed help vision clear depart strangest feeling drifted oh begin give baby dear thou art misunderstood drink day play night upon case electric piano darkness see light,3,"[ 0.01804358  0.00110064  0.01212456 ...  0.00927337  0.00277607
 -0.03731708]"
chicaneautumn tactic deep river run course warm horizon shadow falling leaf october moon rusty sky changing feeling seed autumn mind riding sun like hiding sun feel like begun,2,"[-0.01336592 -0.01277886  0.016861   ... -0.01609645  0.00201035
 -0.03047267]"
say sorry look line sun close heaven love fine hold like two world apart two together good night kiss away one take hard one miss way living love living love road get tough love strong enough living living love living love living living love living love feel head full thunder question never end empty night alone wonder come back living love,3,"[ 0.01886543  0.01179089 -0.00570945 ... -0.00154776  0.01410921
 -0.03305435]"
future look much brighter bad yesterday saying bad tomorrow another day future look much brighter bad yesterday saying bad tomorrow another day turn let u get started man need find much life spent weekend come monday feel great cut pretend night time come got upper hand moving world moving land might make money might make grand alone two foot got stand life suck say leave empty right done plenty sometimes wonder lord sent hit fulfill dream keep scheme got family got team stay top learn seen kuz dirt always clean,3,"[ 0.0081627  -0.00403105  0.01643272 ...  0.00109579  0.00148146
 -0.0380166 ]"
age grew hope regarded common circle rope circle rope threw plan ran wheel emptied head childish ideal sleep feeling sleep sleep dreaming sleep dreaming,3,"[ 0.00458023 -0.00480616  0.02264785 ...  0.01078306 -0.00662046
 -0.024825  ]"
song lazy girl laid back boy never quite outre toy maybe told got go get would rather lay low watch river run key lazy girl laid back boy got right life enjoy eating orange popsicle,1,"[-0.00279574 -0.00225579  0.00625312 ... -0.0083375  -0.0003079
 -0.03428247]"
place east mysterious ring magical ring stone fluid lived said forgotten race one know sum de rum red derive sum de rum red derive sum de rum red derive sum de rum red derive,2,"[ 0.00390292 -0.0060716  -0.01303328 ... -0.01421299 -0.02013271
 -0.01528673]"
well tackle jackson greedy boy right liked stuff face thing gave boy greatest joy eating far many cake ate one two three four tackle wanted give six seven eight tackle another plate time got twenty anybody would thought plenty another eight make twenty eight got twenty eight stopped stopped eating cake run cake tackle jackson greedy boy yes said enough think could eat thousand cake,1,"[-0.01337797 -0.00173143  0.02758108 ...  0.0005026   0.00716242
 -0.02041189]"
one month hell one month exploding shell covering prostate body waiting join join comrade still agonizing,3,"[-0.01188809 -0.0045231   0.0045442  ...  0.00843421  0.02675875
 -0.01122686]"
another sleepless night explain somebody said heard call name radio let leave mind know know known better fall love love faded memory known better prisoner pain heart still ache ohoohoohooh oh risk would take promise make,3,"[ 0.01102241 -0.01996953  0.00859665 ... -0.00981297  0.00933881
 -0.02458739]"
always wanting anything got everything want stop planning day away never finding way stay ever feel enough today tomorrow must drink dream bed drug lust lie head love dear fun pain flesh star smile fame sex,3,"[-0.0033279   0.01366975  0.00855457 ... -0.00665243  0.01019656
 -0.03516429]"
hasty w shit get towel ready go yeah yeah yeah everybody place hit fucking deck shanty stay motherfucking toe yeah yeah yeah running let u go hey boat boat boat boat everybody look sailing boat sailing boat boat boat boat take good hard look motherfucking boat yeah boat motherfucker take look straight floating boat deep blue sea yeah yeah yeah dusting five knot wind whipping coat stop motherfucker boat take picture trick trick boat bitch bitch,1,"[-0.01330949 -0.01643839  0.00280533 ... -0.02866044 -0.00350583
 -0.01203525]"
faithful end got faithful end oh want faithful end yes people god move yeah would like best friend rolling around mind occurred god would treat would still running game type way would want would want mind heavenly body would getting bonus someone godly wit would still wanting ex lie greed weed sex would ashamed give part check hearing cross mean heart neck would reflect street hi side wit know would die good bad call like chirping would jealous brother worship talk earth glory grateful presence try stay faithful,2,"[-0.00658291 -0.00540498 -0.0072762  ... -0.01371103  0.02859324
 -0.03567424]"
give men year go may heart learning promised would never returning baby broke heart left learning talked room face daring flaring hearing someone said welcome room smiled eye looked new hearing talked stair still concealing gloom two girl sitting room talked face,3,"[-0.02009977 -0.00071956  0.00858001 ... -0.00858001  0.02220546
 -0.02037324]"
nowhere searching home still turning past gone time,3,"[-0.01525498 -0.00079128 -0.01769361 ...  0.00719396  0.00584255
 -0.02025417]"
key everybody yeah feel something people getting nowhere road see anything anywhere awaiting must night walk around city seems like never know feeling together go,2,"[-0.01408639  0.00011564  0.01192549 ... -0.02420212  0.0044231
 -0.02906416]"
joke morning cortlandt heaven would either way feeling alive alive joke morning john halfnaked full cry baby never go crazy alive,2,"[ 0.00245481  0.01089896  0.0064511  ... -0.00027353  0.02111885
 -0.02368571]"
ooh ooh know kept waiting ooh ooh know glad came thinking bout said name got body spinning like hurricane feel like got going insane get enough let get oh look like alone got scared grown hit frost let u get blazing turn heat want turn light low want must want move froze saying met break ice allow get right met warm baby make feel hot hot hot hot met break ice allow get right met warm,1,"[-0.02219222 -0.01510563  0.00494863 ... -0.00535491  0.0053216
 -0.03162325]"
midnight blue midnight blue see lonely road lead far away see distant light left behind day see much say see midnight blue see cry found lot pain searching never difference say name see midnight blue love tonight stay side moving feeling midnight blue,2,"[ 0.00363779  0.00010919  0.01199752 ... -0.00088659  0.00838586
 -0.02105608]"
put lack patience put lack sleep head stay bed tucked sheet said try get would get said chance chance gone know think think thought like sink home deep,1,"[ 0.00046492  0.01456222  0.02852169 ...  0.00370563 -0.00110621
 -0.01343889]"
ever felt kind emptiness inside never measure people must strong show weak ever told someone something far truth met know okay must make stop wondering question may okay really must needed time figure thing telling lie honest still know yet come ever seen face mirror smile,2,
sleep forever still tired stay cold stone still find peace feel meek leading blind feel spending wasted time waiting still waiting waiting waiting waiting still waiting always one step far whine bone still full,2,"[ 0.0068897  -0.01455835  0.00228146 ...  0.00416336  0.00566755
 -0.03317262]"
open eye try touch hand mind playing trick think hears u cry,3,"[-0.02272757 -0.00269539  0.01853809 ... -0.01666421  0.02539116
 -0.02654226]"
evening fall run like whispered dream eye see soft warm touch face bed straw ray believed would catch rainbow side wind sun nail away,3,"[-0.01387847 -0.00232938  0.0024551  ... -0.00210063  0.01473758
 -0.01521253]"
want see hold hand really love man man oh man back grenville go back grenville scream shout make scene open mouth never say mean may mean oh say mean back grenville go back grenville drink hard liquor come strong,3,"[-0.00448225 -0.00443794 -0.00368465 ... -0.02411895  0.02391444
 -0.00408345]"
want cry would good raised would water night storm hand lift powerless change world powerless stop hurt give heart give shoulder give heart give shoulder want run,2,"[-0.02752948 -0.01195725 -0.00860644 ... -0.00263998  0.0056206
 -0.01717116]"
know sixtynine turning bone bedside time meet tonight met touch magical light going hit going kick going break ice give u fever give u sweat going make u live twice tonight long stick go boom tonight long stick go boom,0,"[ 0.00613779  0.00348941  0.00523154 ... -0.00927534  0.02352133
 -0.01231677]"
little bit younger strain would make cry little bit older little bit bolder never shy sweet darling sweet darling hold hold must little bit longer must little bit little bit longer sweet darling sweet darling hold hold must little bit longer must little bit little bit longer thing little bit clearer got nearer shied touch know want see think taunt,1,"[-0.01795982 -0.01500618  0.01056172 ...  0.00379354 -0.00673668
 -0.00217499]"
turn radio ah fuck turn dear god radio ah fuck turn turn turn radio ah fuck turn dear god radio ah fuck savior guillotined cross kerosene verge network ilagin nerve gas jump brodie bang met hang paranoid cry stuff void met u capture maybe undressed blessed word power pendulum swing umbilical cord shock around clock noon til noon men grain miss stuff womb terror product push well truth adduct w shit got headrush sheep tremble come vote thrown throat case scapegoat undressed blessed word devil ran around managua sword check new style lie found tune bullet shut devil sound hut devil sound,0,"[-0.00120447 -0.02451229 -0.00238314 ...  0.00718037  0.00802633
  0.00782   ]"
sky falling curious condition fallacy superstition live life like kind actor scenario manufacture going need action going need action soon wrapped world ordinary madness nothing new tomon comon tomon comon tomon comon,0,"[ 0.00957513  0.00489939  0.00955416 ... -0.00304727 -0.0060491
 -0.04050909]"
exploding international scene sound famous feeling squeeze ground tearing another page loose change outrage another perfect day night show exploding international wind howl sky thick ring smoke cloud hanging bleeding end conscious anything missed far know far know swinging around swinging around,1,"[-0.01322158  0.00023792  0.01952307 ... -0.00026936  0.00663118
 -0.03072573]"
yeah world expense cost desire jesus blessed future protect fire raise fist march around must take need jail bury committed smother rest greed crawl tomorrow drag grave deep inside child betray name key key,0,"[ 0.00106171 -0.01050938  0.00039619 ... -0.02003176  0.0069576
 -0.01702908]"
mother witch burned alive ooh bitch would cry tear evil revenge sing evil shit bring mentally evil,1,"[-0.02085993 -0.02431055 -0.01326207 ... -0.0049513  -0.01216178
 -0.01329463]"
pain buried far away life nothing sick old thing dig hole bury pain sick old thing dig hole bury pain high always burying life slowly sick old thing dig hole bury pain sick old thing dig hole bury pain sick old thing dig hole bury pain sick old thing dig hole bury pain,0,"[ 0.00636029 -0.00179861  0.03777075 ...  0.0080416   0.00200225
 -0.00493965]"
sun go side town lonesome feeling come door whole world turn blue renown bar cross railroad track got table twoway back sit alone think losing spend every night beneath light non moon lose one always room lonely watch broken dream dance beam non moon,3,"[ 0.01715211  0.00336844  0.02731331 ... -0.01283021  0.01154312
 -0.02732686]"
dream last night dreamed dead woke wanted call get head talk anymore made sure would give anything hear voice would better could go back sorry tear,2,"[-0.0155841  -0.00543358  0.00630497 ... -0.00296239  0.00597862
 -0.009481  ]"
around world hey hey around world hey hey kitchen cooking good voice globe little little finest meal appetite hope see mix together dream ingredient even sea realizing thing seem riddle spirit power life around world round world seen seen around world round world sun always rise fall around world round world,1,"[ 0.00700357 -0.00538055  0.01531867 ... -0.01811222 -0.00666585
 -0.02389607]"
got u scared thinking evil way oh made nasty decision love whoever want whenever thing say evil urge baby part human way evil baby hurting anybody evil urge baby bepart human way,1,"[-0.00427905 -0.01409412  0.00288502 ... -0.01119239  0.01289064
 -0.0295522 ]"
although try discredit still never edit needle thread radically poetic standing fury like edouble mad still kneedeep system shit body removed give dose never come close rage built inside list air land hypocrisy movement come movement go leader speak movement cease head flown bunk got bullet head department police judge fed network work keeping people calm know went king spoke vietnam turned power havenot came shot,0,"[-0.02459322  0.00456554 -0.00799314 ... -0.02175182  0.00162932
 -0.00467588]"
rolling suicide take wake arab brush put little make side scar fade away shake side scar fade away shake leave key upon table go create another fable wanted arab brush put little make wanted side scar fade away shake wanted leave key upon table wanted think trust selfrighteous suicide cry angel deserve die,0,"[-0.00081959 -0.00386742  0.01389662 ... -0.0001771   0.01342264
 -0.02890607]"
worked figured retreat seen met nothing come lazy day rate pay knife carve life plot downfall nearest aisle failing coffin smiling go joining nothing part freak show,3,"[-0.02732528  0.01239866  0.01105432 ...  0.00528605  0.00846061
 -0.02465121]"
get going far side sky first thing going spread wing fly going land beside lion run finger mane might find like ride drop rain yeah get going happy tear would sin struggle carried year leave heart wide open love fear yeah get going,3,"[-0.00545238 -0.00865071 -0.00626127 ... -0.01857397  0.02645302
 -0.03333026]"
one day started telling everyone filling business hung like martyr looking cross skull beneath skin prophesied last rate loved death friend started seeing bad omen head good mourning black friday wake dead superstitious mean thing crazy shit happened since conquering even close even close even close overcome finger eye needle vein knife right heart victory finger eye needle vein,0,"[-0.03183336 -0.0186776   0.02153515 ... -0.00377555  0.01724192
 -0.02912766]"
key wondering go late night hey hoping thinking matter time hey listening tell word say voice hesitation quickly light cigarette turn away cry inside smiling look eye jump stare,3,"[-0.01200356  0.00693903  0.01724533 ... -0.0069697   0.01083797
 -0.03244575]"
turn bit please baby baby baby good baby baby baby good lady understands understands right,1,"[-0.02614995 -0.01433771 -0.00388842 ...  0.00558543  0.00341573
 -0.01407046]"
lit purest candle close window hoping would catch eye vagabond passed waited fleeting house came felt drawing near neared felt ancient fear come wound door beer,3,"[-0.00514961 -0.01284771 -0.00938655 ... -0.01296004  0.0078701
 -0.00876874]"
flaming global infection illness little knowledge nonaffection kin old grey bitter anxious collapsed like wallflower blooming withered apparent death flaming guilt trying tear torture pain leaving emptiness behind,3,"[-0.00973538 -0.00467367  0.02305176 ... -0.01309852  0.00993962
 -0.02862067]"
hear music hear music feel magic hanging air feel magic oh yeah love mystery demystify oh sometimes wonder care care hear music hear music feel magic dancing air feel magic oh yeah love mystery demystify oh,3,"[ 1.75712432e-03  2.62597855e-03 -6.24944048e-04 ... -8.68530665e-03
 -9.47528461e-05 -3.20747979e-02]"
friday night late walking home got gate dreaming night would turn right tell girl want build world around well true want make understand talking lifetime plan way began hand hand clean miller band better yelled screamed porter tune,2,"[ 0.00185823 -0.00517431  0.01060186 ... -0.00314839 -0.00111135
 -0.01795951]"
created went turn art like cheap old old boring milk taken cow dddhead buried dddhead buried twitched sulph ajar high clean never eat anything face mean dddhead buried dddhead buried living easy living clean take hot make naked take feel plain scene,0,"[-0.00710187  0.00391163  0.01184345 ...  0.01042167 -0.00397116
 -0.03291792]"
take road take little longer talk house game suffering life play making discovered fire people like made much stronger people like made question blame huddled strength like bird sloping wire hearing voice make uneasy hearing voice make question fame money deaf sound lover cry language loss made much older language loss made lose grip language loss made silent newton child,3,"[-0.00043899  0.0061285   0.01110487 ... -0.00553161 -0.00624996
 -0.02549956]"
orange size watermelon well least memory sunshine made bare foot burn upon road war away would roam would howling song back seat boy would laugh tease black foot would tell story would warm soul motorbike come jimmy could wait get home homeward sing,2,"[ 0.00071128 -0.01181347  0.0059892  ... -0.02245865  0.00090113
 -0.01942109]"
rain mind met stand night take life met know alright every time rain feel holding every time rain angel cry stay strong fine carry life still stare sky gray rain time,3,"[ 0.01070552 -0.00330032  0.00785509 ... -0.01053476 -0.00956929
 -0.00910298]"
summer street pavement burning sit around trying smile air heavy dry strange voice saying say thing understand close comfort heat got right hand cruel cruel cruel summer leaving cruel cruel cruel summer gone city crowded friend away hot handle got get go,1,"[-0.00078656  0.00988185  0.02031116 ... -0.01045669  0.00756878
 -0.03668053]"
corp hanging around house car outside look like got blue moon know day night everybodys creeping around plastic cover shoe making coffee everyone concerned someone point someone point everyone saying lie none say sleepy summer rain complete absence pain might think crazy still love,3,"[ 0.00069714  0.01981008  0.02385628 ... -0.00667691  0.00412767
 -0.02965403]"
met heat pour good long around let u wear crown best make proud super lady got baby got baby baby love body move body dance papa lock body rock body dance papa hand air dance man care hand air air air love body move body dance papa lock body rock body dance papa rock shining bright even side make sure glow make sure everybody know,1,"[-0.01223376 -0.00219767  0.00345155 ... -0.01454496 -0.00365657
 -0.01284375]"
first time saw face cold december night tuesday gig band liked first time heard may name said mine fell love ever since mind,2,"[-0.025285   -0.00675708  0.00381271 ... -0.02339528 -0.00867009
 -0.00999423]"
well got daddy car bruised hamburg stand seems forgot library like told old man radio blasting bruising fast fun fun fun oil daddy take tbird away fun fun fun til daddy take tbird away well girl stand walk look drive like ace walk like ace walk like ace make andy look like woman chariot race look like ace look like ace lost gun try catch lead wild goose chase,1,"[-0.01050805 -0.00757399  0.01009865 ... -0.00487874 -0.01271884
 -0.01738605]"
caught mine master whipping time smile lip look horror face self justification rid sexual fascination deny face pleasure gleam eye nothing object animation subjective mannequin beaten submission,0,"[-0.02848776 -0.00580973  0.00672687 ...  0.0028449   0.01305866
 -0.02071324]"
betrayed one time somewhere line going get coming look took look full back soon one attack wait return favour look took look many time seen rip hole friendship always think think envy,0,"[-0.01101565 -0.00793017  0.02083559 ... -0.01074764  0.02017588
 -0.00824627]"
left love stain heart left bloodstain ground blood come easily blood come easily,2,"[ 0.00134318 -0.00678979  0.00017063 ... -0.02901276  0.00740766
 -0.02570853]"
young death walk shoe big play like poet like always lay face unturned palm god rushed fingertip dream haunted consoling would like call call beauty trained love become still amazed would like call beauty beauty beauty beauty,2,"[-0.00850385 -0.00666685  0.0139598  ...  0.00456153  0.00131755
 -0.03651977]"
sun inside eye sends impossible season spelling fluid time like artery gold beside tree oak moss innocently,2,"[ 0.00564715 -0.00636185 -0.00622806 ... -0.0168288  -0.01335742
 -0.02281393]"
london calling faraway town war declared battle come london calling underwood cupboard boy girl london calling look u holy beatlemania bitten dust london calling see got swing kept ring luncheon thing ice age coming sun booming meltdown expected wheat growing thin engine stop running fear london drowning live river,0,"[-0.0119732  -0.01721019 -0.00134519 ... -0.00639735  0.00952243
 -0.01658039]"
